Song,Album,Summary,,Happiness/Sadness,,,,In/Out of a Relationship,,,,,,,,,,,,,,,,,,,
,,Happy/Sad,Relationship,Feelings of self,Glass half full,Stages,Tempo,Seriousness,Future prospects,Feelings of male,Togetherness,,,,,,,,,,,,,,,,
Better Than Revenge,Speak Now,-4,-8,2,-3,-3,0,-3,-2,0,-3,,,,,,,,,,,,,,,,
Dear John,Speak Now,-7,-10,-2,-2,-3,0,-2,-3,-3,-2,,,,,,,,,,,,,,,,
Enchanted,Speak Now,5,-1,1,1,1,2,0,0,0,-1,,,,,,,,,,,,,,,,
Haunted,Speak Now,-3,-10,0,-3,-2,2,-3,-2,-3,-2,,,,,,,,,,,,,,,,
If This Was a Movie,Speak Now,-4,-6,-2,-2,-2,2,-2,0,-2,-2,,,,,,,,,,,,,,,,
Last Kiss,Speak Now,-2,-4,0,-1,-1,0,-1,-2,0,-1,,,,,,,,,,,,,,,,
Long Live,Speak Now,5,1,2,2,1,0,0,0,0,1,,,,,,,,,,,,,,,,
Mean,Speak Now,6,-7,1,0,2,3,-3,-3,0,-1,,,,,,,,,,,,,,,,
Mine,Speak Now,6,10,1,2,1,2,3,3,3,1,,,,,,,,,,,,,,,,
Ours,Speak Now,9,6,3,1,3,2,2,2,3,-1,,,,,,,,,,,,,,,,
Sparks Fly,Speak Now,8,3,2,2,2,2,1,1,0,1,,,,,,,,,,,,,,,,
Speak Now,Speak Now,8,4,3,0,3,2,0,2,3,-1,,,,,,,,,,,,,,,,
"Story of Us, The",Speak Now,-3,-6,-1,-2,-2,2,-1,-2,-2,-1,,,,,,,,,,,,,,,,
Superman,Speak Now,1,-2,-1,-1,1,2,1,0,0,-3,,,,,,,,,,,,,,,,
22,Red,2,-1,0,1,1,0,0,0,0,-1,,,,,,,,,,,,,,,,
All Too Well,Red,-6,-7,-1,-2,-3,0,-2,-2,-2,-1,,,,,,,,,,,,,,,,
Begin Again,Red,2,7,-1,1,2,0,2,2,2,1,,,,,,,,,,,,,,,,
Come Back... Be Here,Red,-6,-2,-3,-1,-2,0,0,-1,2,-3,,,,,,,,,,,,,,,,
Everything Has Changed,Red,9,8,3,3,3,0,1,2,3,2,,,,,,,,,,,,,,,,
Girl at Home,Red,5,-3,2,-2,3,2,0,-3,1,-1,,,,,,,,,,,,,,,,
Holy Ground,Red,2,-5,0,0,0,2,-1,-3,0,-1,,,,,,,,,,,,,,,,
I Almost Do,Red,-3,-6,-2,-3,0,2,-2,-2,0,-2,,,,,,,,,,,,,,,,
I Knew You Were Trouble,Red,-12,-9,-3,-3,-3,-3,-3,-3,0,-3,,,,,,,,,,,,,,,,
"Last Time, The",Red,-3,0,0,-1,-2,0,-2,0,3,-1,,,,,,,,,,,,,,,,
"Lucky One, The",Red,-1,-2,-1,0,0,0,0,-1,0,-1,,,,,,,,,,,,,,,,
"Moment I Knew, The",Red,-7,-5,-1,-3,-3,0,-3,0,0,-2,,,,,,,,,,,,,,,,
Red,Red,-2,-2,-1,0,-1,0,-1,0,0,-1,,,,,,,,,,,,,,,,
Sad Beautiful Tragic,Red,-7,-7,-2,-2,-3,0,-1,-3,-2,-1,,,,,,,,,,,,,,,,
Starlight,Red,6,9,-1,3,1,3,1,3,3,2,,,,,,,,,,,,,,,,
State of Grace,Red,-1,-1,-1,-2,0,2,-1,0,0,0,,,,,,,,,,,,,,,,
Stay Stay Stay,Red,5,8,-1,1,2,3,2,2,2,2,,,,,,,,,,,,,,,,
Treacherous,Red,4,1,1,1,2,0,1,0,0,0,,,,,,,,,,,,,,,,
We Are Never Getting Back Together,Red,3,-7,3,-2,2,0,-2,-3,1,-3,,,,,,,,,,,,,,,,
All You Had To Do Was Stay,1989,-4,-7,2,-3,-3,0,-3,-3,1,-2,,,,,,,,,,,,,,,,
Bad Blood,1989,-1,-11,3,-3,-3,2,-3,-3,-3,-2,,,,,,,,,,,,,,,,
Blank Space,1989,-1,-3,0,-1,0,0,-2,0,0,-1,,,,,,,,,,,,,,,,
Clean,1989,0,-7,0,0,0,0,-3,-3,0,-1,,,,,,,,,,,,,,,,
How You Get the Girl,1989,3,2,0,1,0,2,-1,1,3,-1,,,,,,,,,,,,,,,,
I Know Places,1989,5,7,2,-2,3,2,3,2,0,2,,,,,,,,,,,,,,,,
I Wish You Would,1989,-2,-5,-2,-3,1,2,-1,0,-2,-2,,,,,,,,,,,,,,,,
New Romantics,1989,1,-2,0,-1,1,1,0,0,0,-2,,,,,,,,,,,,,,,,
Out of the Woods,1989,-1,-5,0,-2,1,0,-1,-3,0,-1,,,,,,,,,,,,,,,,
Shake It Off,1989,9,-2,3,2,2,2,0,0,0,-2,,,,,,,,,,,,,,,,
Style,1989,-4,2,-3,-1,0,0,-1,1,1,1,,,,,,,,,,,,,,,,
This Love,1989,-2,-2,-1,-1,0,0,-1,0,0,-1,,,,,,,,,,,,,,,,
Welcome to New York,1989,4,7,0,2,0,2,1,2,2,2,,,,,,,,,,,,,,,,
Wildest Dreams,1989,1,-5,-1,0,0,2,-1,-2,1,-3,,,,,,,,,,,,,,,,
Wonderland,1989,-5,0,-2,-2,-1,0,-1,-1,1,1,,,,,,,,,,,,,,,,
You Are In Love,1989,5,9,2,2,1,0,2,2,3,2,,,,,,,,,,,,,,,,
…Ready For It?,Reputation,6,0,3,-1,2,2,1,0,0,-1,,,,,,,,,,,,,,,,
Call It What You Want,Reputation,2,7,-2,0,2,2,2,2,3,0,,,,,,,,,,,,,,,,
Dancing With Our Hands Tied,Reputation,-5,1,-2,-2,-1,0,2,-1,0,0,,,,,,,,,,,,,,,,
Delicate,Reputation,-4,-2,-1,-2,1,-2,0,0,0,-2,,,,,,,,,,,,,,,,
Don't Blame Me,Reputation,-3,2,-3,-2,2,0,1,2,0,-1,,,,,,,,,,,,,,,,
Dress,Reputation,3,4,-1,1,1,2,1,2,0,1,,,,,,,,,,,,,,,,
End Game,Reputation,3,3,-1,0,2,2,2,0,0,1,,,,,,,,,,,,,,,,
Getaway Car,Reputation,-1,-5,-1,-2,0,2,-2,-3,0,0,,,,,,,,,,,,,,,,
Gorgeous,Reputation,1,-4,3,0,-2,0,0,-1,0,-3,,,,,,,,,,,,,,,,
I Did Something Bad,Reputation,-1,-2,3,-2,0,-2,-1,-2,2,-1,,,,,,,,,,,,,,,,
King of My Heart,Reputation,7,5,2,2,1,2,1,2,1,1,,,,,,,,,,,,,,,,
Look What You Made Me Do,Reputation,1,-11,3,-2,3,-3,-3,-3,-3,-2,,,,,,,,,,,,,,,,
New Year's Day,Reputation,2,4,0,-1,3,0,2,1,0,1,,,,,,,,,,,,,,,,
So It Goes…,Reputation,-2,3,0,-2,0,0,1,0,1,1,,,,,,,,,,,,,,,,
This Is Why We Can't Have Nice Things,Reputation,-8,-11,0,-2,-3,-3,-3,-3,-3,-2,,,,,,,,,,,,,,,,
Afterglow,Lover,-6,-7,-3,-3,-2,2,-3,0,-2,-2,,,,,,,,,,,,,,,,
Cornelia Street,Lover,0,6,-1,0,1,0,2,2,3,-1,,,,,,,,,,,,,,,,
Cruel Summer,Lover,-3,1,-1,-3,-1,2,2,-1,1,-1,,,,,,,,,,,,,,,,
Daylight,Lover,0,4,-2,-1,1,2,2,3,0,-1,,,,,,,,,,,,,,,,
Death By A Thousand Cuts,Lover,-6,-7,0,-3,-3,0,-1,-2,-2,-2,,,,,,,,,,,,,,,,
False God,Lover,-5,1,-2,-2,-1,0,-1,0,0,2,,,,,,,,,,,,,,,,
I Forgot That You Existed,Lover,2,-8,2,0,0,0,-3,-3,0,-2,,,,,,,,,,,,,,,,
I Think He Knows,Lover,11,8,3,3,3,2,1,2,3,2,,,,,,,,,,,,,,,,
It's Nice To Have A Friend,Lover,5,11,2,2,1,0,3,3,3,2,,,,,,,,,,,,,,,,
London Boy,Lover,9,7,3,3,1,2,1,2,2,2,,,,,,,,,,,,,,,,
Lover,Lover,3,11,1,1,1,0,3,3,3,2,,,,,,,,,,,,,,,,
ME!,Lover,7,5,3,2,2,0,1,2,3,-1,,,,,,,,,,,,,,,,
Miss Americana & The Heartbreak Prince,Lover,-1,1,-1,-1,1,0,2,0,0,-1,,,,,,,,,,,,,,,,
Paper Rings,Lover,11,9,3,3,3,2,2,3,2,2,,,,,,,,,,,,,,,,
Soon You'll Get Better,Lover,-3,1,-1,-1,-1,0,2,0,0,-1,,,,,,,,,,,,,,,,
The Archer,Lover,-1,1,-3,-1,1,2,2,0,0,-1,,,,,,,,,,,,,,,,
The Man,Lover,2,-2,2,1,-3,2,1,-1,0,-2,,,,,,,,,,,,,,,,
You Need To Calm Down,Lover,7,-8,3,1,3,0,0,-3,-3,-2,,,,,,,,,,,,,,,,
Only the Young,N/A,3,-7,2,0,3,-2,-2,-3,0,-2,,,,,,,,,,,,,,,,
august,folklore,0,-1,0,-1,1,0,-1,-1,1,0,,,,,,,,,,,,,,,,
betty,folklore,-1,-6,-2,-2,3,0,-2,0,-1,-3,,,,,,,,,,,,,,,,
cardigan,folklore,-2,-2,-1,-1,0,0,-2,1,0,-1,,,,,,,,,,,,,,,,
epiphany,folklore,-5,-6,0,-3,-2,0,0,-3,0,-3,,,,,,,,,,,,,,,,
exile,folklore,0,-3,1,-3,2,0,-2,-1,3,-3,,,,,,,,,,,,,,,,
hoax,folklore,-7,-7,-1,-3,-3,0,-3,1,-3,-2,,,,,,,,,,,,,,,,
illicit affairs,folklore,-3,1,-1,-2,-2,2,1,0,1,-1,,,,,,,,,,,,,,,,
invisible string,folklore,-1,1,1,0,0,-2,2,0,0,-1,,,,,,,,,,,,,,,,
mad woman,folklore,0,-9,3,-2,-3,2,-3,0,-3,-3,,,,,,,,,,,,,,,,
mirrorball,folklore,3,-1,-1,0,2,2,0,0,0,-1,,,,,,,,,,,,,,,,
my tears ricochet,folklore,-2,-9,1,-2,-3,2,-2,-2,-3,-2,,,,,,,,,,,,,,,,
peace,folklore,5,4,1,1,1,2,3,0,0,1,,,,,,,,,,,,,,,,
the 1,folklore,3,-3,1,0,0,2,-1,-1,0,-1,,,,,,,,,,,,,,,,
the lakes,folklore,-2,-1,-1,-2,1,0,0,1,0,-2,,,,,,,,,,,,,,,,
the last great american dynasty,folklore,8,2,3,1,2,2,3,-3,3,-1,,,,,,,,,,,,,,,,
this is me trying,folklore,-2,-4,-3,-3,2,2,-2,0,0,-2,,,,,,,,,,,,,,,,
champagne problems,evermore,-5,-10,-3,-2,0,0,-3,-3,-2,-2,,,,,,,,,,,,,,,,
closure,evermore,0,-7,2,-1,-3,2,-2,-3,0,-2,,,,,,,,,,,,,,,,
coney island,evermore,-6,-7,-2,-3,-3,2,-2,-1,-2,-2,,,,,,,,,,,,,,,,
cowboy like me,evermore,0,2,-1,-1,0,2,1,0,1,0,,,,,,,,,,,,,,,,
dorothea,evermore,8,-3,3,2,1,2,-1,0,0,-2,,,,,,,,,,,,,,,,
evermore,evermore,-5,-4,-2,-2,-3,2,-1,0,-1,-2,,,,,,,,,,,,,,,,
gold rush,evermore,6,-4,2,0,2,2,-1,-2,0,-1,,,,,,,,,,,,,,,,
happiness,evermore,-1,-3,-2,-2,1,2,-2,1,-1,-1,,,,,,,,,,,,,,,,
it's time to go,evermore,6,-5,2,0,2,2,-2,-3,1,-1,,,,,,,,,,,,,,,,
ivy,evermore,1,-1,1,-1,1,0,1,0,1,-3,,,,,,,,,,,,,,,,
long story short,evermore,7,3,1,1,3,2,2,2,0,-1,,,,,,,,,,,,,,,,
"no body, no crime",evermore,2,-11,3,-1,3,-3,-3,-3,-2,-3,,,,,,,,,,,,,,,,
right where you left me,evermore,-3,-7,-1,-3,-1,2,-2,-1,-1,-3,,,,,,,,,,,,,,,,
tis the damn season,evermore,-5,-4,-3,-2,-2,2,-2,0,-1,-1,,,,,,,,,,,,,,,,
tolerate it,evermore,-3,1,1,-2,-2,0,2,0,0,-1,,,,,,,,,,,,,,,,
willow,evermore,4,3,1,1,2,0,1,2,0,0,,,,,,,,,,,,,,,,
You All Over Me,Fearless (Taylor's Version),-3,-3,-1,-2,0,0,-2,0,0,-1,,,,,,,,,,,,,,,,
Mr. Perfectly Fine,Fearless (Taylor's Version),3,-7,2,0,1,0,-2,-2,0,-3,,,,,,,,,,,,,,,,
We Were Happy,Fearless (Taylor's Version),-7,-1,-3,-1,-3,0,-1,0,0,0,,,,,,,,,,,,,,,,
That's When,Fearless (Taylor's Version),-1,5,-3,0,2,0,0,2,2,1,,,,,,,,,,,,,,,,
Don't You,Fearless (Taylor's Version),-7,-4,-1,-3,-3,0,-1,-1,1,-3,,,,,,,,,,,,,,,,
Bye Bye Baby,Fearless (Taylor's Version),-5,-6,-1,-3,-1,0,-1,-2,0,-3,,,,,,,,,,,,,,,,
Message In A Bottle,Red (Taylor's Version),5,-3,0,2,1,2,0,0,0,-3,,,,,,,,,,,,,,,,
I Bet You Think About Me,Red (Taylor's Version),1,-10,2,-3,0,2,-2,-2,-3,-3,,,,,,,,,,,,,,,,
Forever Winter,Red (Taylor's Version),4,8,-1,0,3,2,2,2,1,3,,,,,,,,,,,,,,,,
Run,Red (Taylor's Version),6,9,2,1,1,2,2,2,3,2,,,,,,,,,,,,,,,,
The Very First Night,Red (Taylor's Version),3,-2,0,0,1,2,-1,0,0,-1,,,,,,,,,,,,,,,,
All Too Well (10 Minute Version),Red (Taylor's Version),-9,-9,-1,-2,-3,-3,-3,-2,-2,-2,,,,,,,,,,,,,,,,
Lavender Haze,Midnights,-1,3,-1,-1,1,0,2,0,1,0,,,,,,,,,,,,,,,,
Maroon,Midnights,0,-4,0,-2,0,2,-1,-1,-2,0,,,,,,,,,,,,,,,,
Anti-Hero,Midnights,-3,-2,-3,-3,1,2,0,0,0,-2,,,,,,,,,,,,,,,,
Snow On The Beach,Midnights,5,3,1,1,1,2,2,0,0,1,,,,,,,,,,,,,,,,
"You're On Your Own, Kid",Midnights,5,-5,1,0,2,2,-1,-2,-1,-1,,,,,,,,,,,,,,,,
Midnight Rain,Midnights,-2,-6,-3,-1,0,2,-1,-2,-2,-1,,,,,,,,,,,,,,,,
Question…?,Midnights,3,-3,0,0,1,2,-1,0,0,-2,,,,,,,,,,,,,,,,
Vigilante Shit,Midnights,6,-5,3,2,3,-2,-3,-2,0,0,,,,,,,,,,,,,,,,
Bejeweled,Midnights,5,-6,-1,2,2,2,-1,-3,0,-2,,,,,,,,,,,,,,,,
Labyrinth,Midnights,-1,1,0,-2,-1,2,1,0,2,-2,,,,,,,,,,,,,,,,
Karma,Midnights,6,-4,3,2,1,0,-2,0,0,-2,,,,,,,,,,,,,,,,
Mastermind,Midnights,8,8,1,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,
The Great War,Midnights,-2,8,-3,-2,3,0,2,3,3,0,,,,,,,,,,,,,,,,
Bigger Than The Whole Sky,Midnights,-4,-6,0,-3,-3,2,-1,-3,0,-2,,,,,,,,,,,,,,,,
Paris,Midnights,6,6,1,2,1,2,1,2,1,2,,,,,,,,,,,,,,,,
High Infidelity,Midnights,-1,-9,-2,-1,2,0,-2,-2,-2,-3,,,,,,,,,,,,,,,,
Glitch,Midnights,1,7,1,1,-1,0,2,2,2,1,,,,,,,,,,,,,,,,
"Would've, Could've, Should've",Midnights,-3,-4,-2,-1,-2,2,-2,-1,0,-1,,,,,,,,,,,,,,,,
Dear Reader,Midnights,1,-1,-2,-2,3,2,0,0,1,-2,,,,,,,,,,,,,,,,
